class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,23.363243932707107,90.95251915411198,13,0.57853925,-0.42842662,2.0198214,23319.37359991476,0.9259259259259256,30.206936,4,7.158279E7,212.58549669002915
1,23.132510525436164,91.28020998109243,9,0.6052012,-0.37477002,0.92740995,50890.218466250895,-1.1234567901234573,44.78094,4,1082.1333,5.513003877498342
1,23.682396753465547,90.85336182385022,8,0.45783728,-0.33978432,2.7445092,17115.267972149057,0.3580246913580245,23.189722,4,3250.4333,725.9814596338774
1,23.455786314564516,90.80328446143635,11,0.44195953,-0.2597302,1.8543341,25384.794367782513,0.8518518518518512,23.985846,4,5099.7666,36.404104397149126
1,23.454663216276018,90.91638427044089,9,0.38374707,-0.20442031,3.4354784,13690.16429854039,-1.1975308641975317,26.079723,4,11503.267,118.10169604402778
1,23.676560274159634,90.81670488475797,12,0.4184257,-0.32506555,2.226605,21102.706087351246,2.7283950617283956,21.252071,4,1416.6666,118.45888948959953
1,23.227163629368935,91.09770015652377,9,0.5717729,-0.37485325,3.5463893,13283.190966524047,-0.9629629629629637,36.05536,4,7.158279E7,310.5974170988554
1,23.55337847449282,91.10838245186257,12,0.24818885,-0.08412809,5.9004917,7946.422133466501,1.4197530864197532,33.96757,4,3256.8333,18.394766973723996
1,23.254149724399465,91.07877365010539,10,0.41934058,-0.27066952,1.3706251,34399.857070806975,-0.4567901234567895,36.75541,4,7.158279E7,285.52016488404905
1,23.699377518913764,90.84809809620212,8,0.5659335,-0.45271593,0.0,0.0,-0.23456790123456805,21.252071,4,4064.2666,198.46743888586002
1,23.43411058055628,91.06282696266206,8,0.45705134,-0.31947002,2.2232196,21172.989118090514,-2.0864197530864192,34.422596,4,4968.067,43.58563077183054
1,23.643186167462318,91.00339593577274,11,0.4721714,-0.37610602,2.2261403,21112.345494428315,-1.2592592592592595,28.951866,4,7.158279E7,120.73956656674973
1,23.286997896568383,91.21006791387155,9,0.49167657,-0.27012113,1.8543341,25416.385071774195,-1.8765432098765427,39.036354,4,7.158279E7,87.44417960339192
1,23.09967486642589,91.32989620431009,9,0.2880293,-0.13480681,2.737973,17230.10932792624,-1.753086419753087,49.868687,4,563.86664,259.08883035305183
1,23.489515083603074,90.93067580436582,8,0.50938386,-0.34523007,3.1692495,14839.02090406564,-0.9629629629629637,26.079723,4,8440.533,44.50819322112344
1,23.568807229138176,90.99932168107861,11,0.6148486,-0.45299122,3.032876,15498.437570985072,0.8888888888888893,29.634125,7,14451.233,94.25169920146284
1,23.684361804181503,90.8288476838608,9,0.47604278,-0.34453532,2.2267144,21100.43413644811,-0.08641975308641925,21.252071,4,2246.8333,55.74280959463136
